title,year,authors,affiliations,journal,citations,keywords,affiliation_missing,source,doi,kc_relevant
Changing Strategies in Keratoplasty After Corneal Hydrops: From Penetrating to Lamellar Approaches–A Narrative Review,2026,Fairaq R.; Kirat O.; AlMutlak M.; Ahad M.A.; Khan O.; AlDayel A.; Khan S.A.; Alshareef M.; Alghamdi W.S.; Bin Helayel H.,"Anterior Segment Division, King Khalid Eye Specialist Hospital, Riyadh, Saudi Arabia; Department of Ophthalmology, Ohud Hospital, Madinah, Saudi Arabia; Department of Ophthalmology, Ministry of National Guard Health Affairs, Riyadh, Saudi Arabia",Clinical Ophthalmology,0,corneal hydrops; corneal transplantation; graft survival; keratoconus; lamellar keratoplasty; visual rehabilitation,False,Scopus,10.2147/OPTH.S568953,True
"Hospital-Based Clinical Profile and Management Patterns of Keratoconus in Riyadh City, Saudi Arabia: A Multi-Center Cross-Sectional Study",2026,Alzahrani K.; Alrashah A.; Almaznai A.; Alzamil H.; Alhamad F.; Alonazi M.; Alqahtani H.; Alamer H.; Alfaifi N.; ALmalki S.; Alrashah K.; Alshehri J.; Eldeeb S.,"Optometry Department, King Fahad Armed Forces Hospital, Jeddah, 23311, Saudi Arabia; Research Administration, Najran Health Cluster, Najran, 66252, Saudi Arabia; Optometry Department, King Saud Medical City, Riyadh, 11461, Saudi Arabia; Ophthalmology Department, Security Forces Hospital, Riyadh, 11481, Saudi Arabia; Binrushd Ophthalmic Centre, Riyadh, 12311, Saudi Arabia; Royal Commission of Jubail, Jubail Industrial City, 35718, Saudi Arabia; College of Applied Medical Sciences, King Saud University, Riyadh, 11451, Saudi Arabia; Optometry Division, King Abdullah Specialized Children’s Hospital, Riyadh, 11426, Saudi Arabia; Comprehensive Specialized Clinic for Security Forces, Najran, 12564, Saudi Arabia; Optometry Department, Faculty of Applied Medical Sciences, Al-Baha University, Al-Baha, 65431, Saudi Arabia; Faculty of Medicine, Zagazig University, Zagazig, 44519, Egypt",Medicina (Lithuania),0,corneal cross-linking; corneal ectasia; keratoconus; Pentacam,False,Scopus,10.3390/medicina62010122,True
Comparison of epithelium-off versus iontophoresis-assisted transepithelial corneal collagen cross-linking in keratoconus: a systematic review and meta-analysis,2026,Alajmi T.S.; Alasmari F.F.; Alasmari T.F.; Bamusa A.; Almarwani S.H.; Aljadani H.T.; Alaslab A.K.; Alghamdi A.; Alalyani M.A.; Qutub M.F.,"College of Medicine, King Saud Bin Abdulaziz University for Health Sciences, Jeddah, Saudi Arabia; King Abdullah International Medical Research Center, Jeddah, Saudi Arabia; Department of Ophthalmology, Ministry of the National Guard-Health Affairs, Jeddah, Saudi Arabia",International Ophthalmology,1,Corneal collagen cross-linking; CXL; I-CXL; Keratoconus,False,Scopus,10.1007/s10792-026-03977-0,True
Ex Vivo Assessment of Excimer Laser-Assisted Lenticule Customization,2026,Abusayf M.M.; Han E.; Liu Y.-C.; Riau A.K.; Mehta J.S.,"Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, Saudi Arabia; Refractive Surgery and Myopia Research Group, Research Excellence Center in Ophthalmology and Visual Sciences, Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, Saudi Arabia; Regenerative Therapy Research Group, Singapore Eye Research Institute, Singapore, Singapore; Ophthalmology and Visual Sciences Academic Clinical Program, Duke–NUS Medical School, Singapore, Singapore; Singapore National Eye Centre, Singapore, Singapore",Translational Vision Science and Technology,0,corneal topography; excimer laser ablation; keratoconus; lenticule extraction; lenticule implantation,False,Scopus,10.1167/tvst.15.5.10,True
Comparison of Corneal and Anterior Chamber Parameters between Myopic Eyes and the LASIK – Treated Eyes Using Pentacam,2026,Moafa M.A.,"Department of Optometry, College of Applied Medical Sciences, Qassim University, Saudi Arabia",Pakistan Journal of Ophthalmology,0,Follow-Up Studies; Global Health; Laser In Situ Keratomileusis; Myopia; Risk Factors,False,Scopus,10.36351/pjo.v42i1.2172,True
Corneal thinning and perforation: a narrative review of diagnostic and stepwise management strategies,2026,Bin Helayel H.; Bin Dakhil N.; Alnutaifi R.; Alkathery F.; Abukhaled Y.; Alsaif B.A.; Aldayel A.; Kirat O.; Fairaq R.,"Anterior Segment Division, King Khaled Eye Specialist Hospital, Al-Urubah Road, Umm Al-Hamam West, Riyadh, 11462, Saudi Arabia; College of Medicine, King Saud University, Riyadh, Saudi Arabia; College of Medicine, Royal College of Surgeons in Ireland, Dublin, Ireland; The University of Tennessee Health Science Center, Memphis, TN, United States; Department of Ophthalmology, College of Medicine, King Fahd Hospital of the University, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia",International Ophthalmology,0,Amniotic membrane transplantation; Corneal perforation; Keratoplasty; Microbial keratitis; Peripheral ulcerative keratitis; Tissue adhesive,False,Scopus,10.1007/s10792-026-04036-4,True
Residents versus experts in interpreting standard Scheimpflug imaging for the diagnosis of keratoconus,2026,Said S.; Blaser F.; Artemiev D.; Stillenmunkes R.; Gjukaj D.; Rechl P.; Bernardi E.; Al-Otaibi W.M.; Hillen M.; Randleman J.B.; Hafezi F.; Torres-Netto E.A.,"Department of Ophthalmology, University Hospital Zurich, University of Zurich, Zurich, Switzerland; Eye Clinic Wettingen, Wettingen, Switzerland; Department of Ophthalmology, Cantonal Hospital St. Gallen, St. Gallen, Switzerland; Augenarztpraxisgemeinschaft Gutblick AG, Pfäffikon, Switzerland; Department of Ophthalmology, Inselspital, Bern University Hospital, University of Bern, Bern, Switzerland; Collage of Applied Medical Sciences, Department of Optometry and Visual Sciences, King Saud University, Riyadh, Saudi Arabia; ELZA Institute, Zurich, Switzerland; Cole Eye Institute, Cleveland Clinic, Cleveland, OH, United States; Cleveland Clinic Lerner College of Medicine of Case Western Reserve University, Cleveland, OH, United States; Faculty of Medicine, University of Geneva, Geneva, Switzerland; Department of Ophthalmology, New York University Grossman School of Medicine, New York University, New York, NY, United States",European Journal of Ophthalmology,0,corneal tomography; diagnostic accuracy; Keratoconus; pentacam; residency training; scheimpflug,False,Scopus,10.1177/11206721261452041,True
Same-day complete suture removal after deep anterior lamellar keratoplasty for keratoconus: a comparative retrospective study,2026,Alenezi S.H.; Alfarhan A.; Alshahrani S.,"Ophthalmology Division, Department of Surgical Specialties, College of Medicine, Majmaah University, Majmaah, Saudi Arabia; King Khaled Eye Specialist Hospital, Riyadh, Saudi Arabia; Department of Ophthalmology, King Abdulaziz Medical City, Ministry of National Guard Health Affairs, Riyadh, Saudi Arabia",Expert Review of Ophthalmology,0,astigmatism; DALK; keratoconus; Keratoplasty; Topography,False,Scopus,10.1080/17469899.2026.2635770,True
Predictive Accuracy of Intraocular Lens Power Calculation Formulas for Cataract Surgery in Keratoconus: A Systematic Review and Network Meta-Analysis,2026,Aljahdali F.F.; Albadri M.; Sharif R.K.; Alharbi B.J.; Alzahrani A.A.; BinYamin A.T.; Bin Helayel H.,"Department of Ophthalmology, Ministry of the National Guard - Health Affairs, Riyadh, Saudi Arabia; King Abdullah International Medical Research Center, Riyadh, Saudi Arabia; College of Medicine, King Saud Bin Abdulaziz University for Health Sciences, Jeddah, Saudi Arabia; King Abdullah International Medical Research Center, Jeddah, Saudi Arabia; Ophthalmology Department, Hera General Hospital, Makkah Health Cluster, Makkah, Saudi Arabia; Ophthalmology Department, King Abdulaziz University Hospital, Jeddah, Saudi Arabia; Department of Ophthalmology, King Fahad Armed Forces Hospital, Jeddah, Saudi Arabia; Anterior Segment Division, King Khaled Eye Specialist Hospital, Riyadh, Saudi Arabia",Clinical Ophthalmology,0,Barrett true-K; cataract surgery; intraocular lens power calculation; Kane keratoconus; keratoconus; network meta-analysis,False,Scopus,10.2147/OPTH.S590465,True
Analysis of topographic corneal parameters in a large cohort of corneal refractive surgery candidates,2026,Abdelghany A.A.; Omar I.,"Department of Ophthalmology, Faculty of Medicine, Minia University, El-Minya, Egypt",Saudi Journal of Ophthalmology,1,Corneal topography; keratoconus; pentacam; refractive surgery,False,Scopus,10.4103/sjopt.sjopt_237_24,True
